"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","exploration_fraction","history_len","lr","nb_timesteps","optimization_mode","problem","problemclass_eval","problemclass_train","reward_system","agent_count","agent_score","all_optimizer_count.Adam","all_optimizer_count.RMSprop","all_optimizer_count.SGD","all_optimizer_count.agent","all_optimizers_scores.Adam","all_optimizers_scores.RMSprop","all_optimizers_scores.SGD","all_optimizers_scores.agent","optimizers_scores.Adam","optimizers_scores.RMSprop","optimizers_scores.SGD","optimizers_scores.agent","optimizers_scores.random_agent"
"peach-sweep-92","whvscye9","finished","-","tidiane","","2022-12-03T08:43:35.000Z","1796","qmr074oo","0.25","15","0.01","73401","hard","","","","lookahead","","0.016","","","","","","","","","0.022","0.916","0.038","0.016","0.008"
"solar-sweep-91","b9mb8jl4","finished","-","tidiane","","2022-12-03T08:39:12.000Z","525","qmr074oo","0.25","15","0.01","30768","hard","","","","inverse","","0.33","","","","","","","","","0.01","0.62","0.04","0.33","0"
"worldly-sweep-90","b9mb8jl4","finished","-","tidiane","","2022-12-03T08:27:12.000Z","714","qmr074oo","0.25","15","0.01","87305","hard","","","","inverse","","0.29","","","","","","","","","0.01","0.66","0.04","0.29","0"
"lunar-sweep-89","b9mb8jl4","finished","-","tidiane","","2022-12-03T08:18:38.000Z","510","qmr074oo","0.25","15","0.01","24743","hard","","","","opposite","","0.31","","","","","","","","","0.01","0.64","0.04","0.31","0"
"woven-sweep-88","whvscye9","finished","-","tidiane","","2022-12-03T08:08:36.000Z","2096","qmr074oo","0.25","15","0.01","83013","hard","","","","lookahead","","0.016","","","","","","","","","0.022","0.91","0.038","0.016","0.014"
"revived-sweep-87","b9mb8jl4","finished","-","tidiane","","2022-12-03T07:58:53.000Z","1180","qmr074oo","0.25","15","0.01","91236","hard","","","","lookahead","","0.3","","","","","","","","","0.01","0.64","0.04","0.3","0.01"
"fanciful-sweep-86","whvscye9","finished","-","tidiane","","2022-12-03T07:56:25.000Z","727","qmr074oo","0.25","15","0.01","6198","hard","","","","opposite","","0.314","","","","","","","","","0.02","0.614","0.04","0.314","0.012"
"eager-sweep-85","b9mb8jl4","finished","-","tidiane","","2022-12-03T07:47:26.000Z","685","qmr074oo","0.25","15","0.01","79648","hard","","","","threshold","","0.01","","","","","","","","","0.01","0.94","0.04","0.01","0"
"faithful-sweep-84","whvscye9","finished","-","tidiane","","2022-12-03T07:39:01.000Z","1043","qmr074oo","0.25","15","0.01","40908","hard","","","","lookahead","","0.016","","","","","","","","","0.02","0.908","0.04","0.016","0.016"
"northern-sweep-83","b9mb8jl4","finished","-","tidiane","","2022-12-03T07:30:08.000Z","1035","qmr074oo","0.25","15","0.01","73900","hard","","","","lookahead","","0.02","","","","","","","","","0.01","0.93","0.04","0.02","0"
"kind-sweep-82","b9mb8jl4","finished","-","tidiane","","2022-12-03T07:22:09.000Z","474","qmr074oo","0.25","15","0.01","12215","hard","","","","opposite","","0.31","","","","","","","","","0.01","0.63","0.04","0.31","0.01"
"charmed-sweep-81","whvscye9","finished","-","tidiane","","2022-12-03T07:18:17.000Z","1242","qmr074oo","0.25","15","0.01","54116","hard","","","","lookahead","","0.018","","","","","","","","","0.022","0.912","0.034","0.018","0.014"
"autumn-sweep-80","b9mb8jl4","finished","-","tidiane","","2022-12-03T07:13:07.000Z","537","qmr074oo","0.25","15","0.01","33431","hard","","","","threshold","","0.29","","","","","","","","","0.01","0.63","0.04","0.29","0.03"
"lemon-sweep-79","b9mb8jl4","finished","-","tidiane","","2022-12-03T07:03:18.000Z","586","qmr074oo","0.25","15","0.01","49242","hard","","","","opposite","","0.01","","","","","","","","","0.01","0.94","0.04","0.01","0"
"sandy-sweep-78","whvscye9","finished","-","tidiane","","2022-12-03T06:53:00.000Z","1512","qmr074oo","0.25","15","0.01","87474","hard","","","","opposite","","0.324","","","","","","","","","0.02","0.61","0.04","0.324","0.006"
"jumping-sweep-77","b9mb8jl4","finished","-","tidiane","","2022-12-03T06:52:54.000Z","618","qmr074oo","0.25","15","0.01","54485","hard","","","","threshold","","0.01","","","","","","","","","0.01","0.94","0.04","0.01","0"
"robust-sweep-76","whvscye9","finished","-","tidiane","","2022-12-03T06:40:20.000Z","756","qmr074oo","0.25","15","0.01","35535","hard","","","","opposite","","0.016","","","","","","","","","0.02","0.918","0.038","0.016","0.008"
"eager-sweep-75","b9mb8jl4","finished","-","tidiane","","2022-12-03T06:40:12.000Z","757","qmr074oo","0.25","15","0.01","99173","hard","","","","inverse","","0.38","","","","","","","","","0.01","0.56","0.04","0.38","0.01"
"crisp-sweep-74","b9mb8jl4","finished","-","tidiane","","2022-12-03T06:31:04.000Z","544","qmr074oo","0.25","15","0.01","11698","hard","","","","lookahead","","0.01","","","","","","","","","0.01","0.93","0.04","0.01","0.01"
"serene-sweep-73","b9mb8jl4","finished","-","tidiane","","2022-12-03T06:20:06.000Z","653","qmr074oo","0.25","15","0.01","61424","hard","","","","opposite","","0.28","","","","","","","","","0.01","0.67","0.04","0.28","0"
"lively-sweep-72","whvscye9","finished","-","tidiane","","2022-12-03T06:18:31.000Z","1303","qmr074oo","0.25","15","0.01","76556","hard","","","","opposite","","0.274","","","","","","","","","0.018","0.65","0.04","0.274","0.018"
"atomic-sweep-71","b9mb8jl4","finished","-","tidiane","","2022-12-03T06:12:24.000Z","458","qmr074oo","0.25","15","0.01","1239","hard","","","","lookahead","","0.01","","","","","","","","","0.01","0.94","0.04","0.01","0"
"zany-sweep-70","b9mb8jl4","finished","-","tidiane","","2022-12-03T05:59:43.000Z","754","qmr074oo","0.25","15","0.01","99349","hard","","","","threshold","","0.01","","","","","","","","","0.01","0.91","0.04","0.01","0.03"
"lucky-sweep-69","whvscye9","finished","-","tidiane","","2022-12-03T05:57:41.000Z","1244","qmr074oo","0.25","15","0.01","74608","hard","","","","inverse","","0.334","","","","","","","","","0.014","0.604","0.038","0.334","0.01"
"whole-sweep-68","b9mb8jl4","finished","-","tidiane","","2022-12-03T05:47:42.000Z","718","qmr074oo","0.25","15","0.01","90230","hard","","","","threshold","","0.3","","","","","","","","","0.01","0.64","0.04","0.3","0.01"
"sandy-sweep-67","whvscye9","finished","-","tidiane","","2022-12-03T05:45:50.000Z","705","qmr074oo","0.25","15","0.01","35538","hard","","","","threshold","","0.022","","","","","","","","","0.022","0.918","0.032","0.022","0.006"
"stoic-sweep-66","b9mb8jl4","finished","-","tidiane","","2022-12-03T05:37:50.000Z","590","qmr074oo","0.25","15","0.01","44950","hard","","","","inverse","","0.01","","","","","","","","","0.01","0.93","0.04","0.01","0.01"
"still-sweep-65","whvscye9","finished","-","tidiane","","2022-12-03T05:34:05.000Z","704","qmr074oo","0.25","15","0.01","31098","hard","","","","inverse","","0.354","","","","","","","","","0.02","0.58","0.036","0.354","0.01"
"graceful-sweep-64","b9mb8jl4","finished","-","tidiane","","2022-12-03T05:29:28.000Z","496","qmr074oo","0.25","15","0.01","14428","hard","","","","opposite","","0.32","","","","","","","","","0.01","0.6","0.04","0.32","0.03"
"electric-sweep-63","whvscye9","finished","-","tidiane","","2022-12-03T05:22:45.000Z","674","qmr074oo","0.25","15","0.01","25371","hard","","","","threshold","","0.018","","","","","","","","","0.022","0.92","0.036","0.018","0.004"
"sandy-sweep-62","b9mb8jl4","finished","-","tidiane","","2022-12-03T05:18:38.000Z","647","qmr074oo","0.25","15","0.01","67971","hard","","","","inverse","","0.29","","","","","","","","","0.01","0.65","0.04","0.29","0.01"
"exalted-sweep-61","b9mb8jl4","finished","-","tidiane","","2022-12-03T05:08:25.000Z","609","qmr074oo","0.25","15","0.01","51103","hard","","","","threshold","","0.02","","","","","","","","","0.01","0.93","0.04","0.02","0"
"grateful-sweep-60","whvscye9","finished","-","tidiane","","2022-12-03T05:08:09.000Z","874","qmr074oo","0.25","15","0.01","25157","hard","","","","lookahead","","0.014","","","","","","","","","0.022","0.914","0.042","0.014","0.008"
"copper-sweep-59","b9mb8jl4","finished","-","tidiane","","2022-12-03T05:00:47.000Z","456","qmr074oo","0.25","15","0.01","4372","hard","","","","opposite","","0.31","","","","","","","","","0.01","0.63","0.04","0.31","0.01"
"deep-sweep-58","whvscye9","finished","-","tidiane","","2022-12-03T04:57:31.000Z","634","qmr074oo","0.25","15","0.01","6181","hard","","","","threshold","","0.014","","","","","","","","","0.022","0.914","0.038","0.014","0.012"
"scarlet-sweep-57","b9mb8jl4","finished","-","tidiane","","2022-12-03T04:48:45.000Z","716","qmr074oo","0.25","15","0.01","36378","hard","","","","lookahead","","0.01","","","","","","","","","0.01","0.93","0.04","0.01","0.01"
"classic-sweep-56","whvscye9","finished","-","tidiane","","2022-12-03T04:46:12.000Z","676","qmr074oo","0.25","15","0.01","26554","hard","","","","opposite","","0.018","","","","","","","","","0.018","0.912","0.038","0.018","0.014"
"azure-sweep-55","b9mb8jl4","finished","-","tidiane","","2022-12-03T04:38:11.000Z","632","qmr074oo","0.25","15","0.01","23258","hard","","","","lookahead","","0.32","","","","","","","","","0.01","0.6","0.04","0.32","0.03"
"devout-sweep-54","whvscye9","finished","-","tidiane","","2022-12-03T04:33:50.000Z","737","qmr074oo","0.25","15","0.01","40497","hard","","","","threshold","","0.018","","","","","","","","","0.022","0.916","0.036","0.018","0.008"
